cnty,G18AGRDFri_sum,G18AGRRCal_sum,G18AGRRfRi_sum,G18AGRSum_sum,G18AM10No_sum,G18AM10Sum_sum,G18AM10Yes_sum,G18AM11No_sum,G18AM11Sum_sum,G18AM11Yes_sum,G18AM12No_sum,G18AM12Sum_sum,G18AM12Yes_sum,G18AM13No_sum,G18AM13Sum_sum,G18AM13Yes_sum,G18AM1No_sum,G18AM1Sum_sum,G18AM1Yes_sum,G18AM2No_sum,G18AM2Sum_sum,G18AM2Yes_sum,G18AM3No_sum,G18AM3Sum_sum,G18AM3Yes_sum,G18AM4No_sum,G18AM4Sum_sum,G18AM4Yes_sum,G18AM5No_sum,G18AM5Sum_sum,G18AM5Yes_sum,G18AM6No_sum,G18AM6Sum_sum,G18AM6Yes_sum,G18AM7No_sum,G18AM7Sum_sum,G18AM7Yes_sum,G18AM9No_sum,G18AM9Sum_sum,G18AM9Yes_sum,G18ATGDMoo_sum,G18ATGDSha_sum,G18ATGISis_sum,G18ATGNPA_sum,G18ATGSum_sum,G18CFODRin_sum,G18CFORPat_sum,G18CFOSum_sum,G18GOVDGil_sum,G18GOVRDeS_sum,G18GOVSum_sum,G18SENDNel_sum,G18SENDSco_sum,G18SENNPA_sum,G18SENSum_sum,SumRegis_sum
NAS,11061,31903,190,42964,13000,41102,28102,14990,40319,25329,8530,41333,32803,16195,42390,26195,13488,42192,28704,10768,41844,31076,11962,42508,30546,20761,42537,21776,10912,41976,31064,14832,41989,27157,13305,41738,28433,17717,41919,24202,32320,10323,511,200,43154,10499,32306,42805,11472,31703,43565,11695,31791,0,43486,66798
OKA,22317,60650,772,82967,20037,79727,59690,26007,77641,51634,12566,80896,68330,26929,81819,54890,27399,81917,54518,20457,81074,60617,20043,82567,62524,36463,82458,45995,19315,81669,62354,26482,81350,54868,23135,81508,58373,26734,81624,54890,61090,20351,1743,761,83184,21192,61272,82464,22408,59940,83881,22902,60924,0,83826,135563
OKE,3234,7903,86,11137,3109,10534,7425,4121,10307,6186,2504,10615,8111,5331,10942,5611,4756,10842,6086,3206,10740,7534,3437,10972,7535,5121,10956,5835,3338,10802,7464,3569,10839,7270,3239,10744,7505,4717,10752,6035,7946,3008,193,117,11147,3237,7699,10936,3306,7730,11239,3494,7727,0,11221,20552
ORA,288758,174698,2446,463456,145204,446079,300875,164396,439627,275231,96402,453364,356962,111728,461910,350182,208921,455100,246179,167724,443846,276122,117541,453658,336117,123960,455254,331294,166456,446470,280014,181641,449534,267893,149443,458088,308645,126147,458396,332249,186732,273906,8667,2788,469305,279327,183558,462885,296297,174253,475784,294076,180740,0,474816,798374
OSC,68478,44701,761,113179,29575,108848,79273,33604,107834,74230,17565,110336,92771,27377,111984,84607,44191,111345,67154,34820,110314,75494,27592,110510,82918,33248,110574,77326,30289,108068,77779,33836,109296,75460,24860,109497,84637,30174,111723,81549,47031,64603,2236,926,113870,67051,45834,112885,68721,44634,115042,67085,47886,0,114971,218754
PAL,340319,235322,2048,575641,204762,549144,344382,163217,533712,370495,92139,548070,455931,147266,557296,410030,237181,553241,316060,171649,547764,376115,149672,559778,410106,181240,561558,380318,207681,563993,356312,217910,564971,347061,200260,560964,360704,143565,563580,420015,246771,323349,10090,2247,580210,330993,239073,570066,341376,240991,586662,343946,244813,0,588759,933115
PAS,89537,118351,1851,207888,65057,197290,132233,80379,193096,112717,45609,199442,153833,69701,203903,134202,82144,204648,122504,72850,201936,129086,65914,206561,140647,80834,207862,127028,68649,202013,133364,73706,202913,129207,65265,201844,136579,72222,202984,130762,129854,76248,4217,1949,210319,82942,124558,207500,86382,120754,210936,89425,121191,0,210616,351949
PIN,228195,200294,3293,428489,160047,401324,241277,174368,393413,219045,96854,406230,309376,157333,413774,256441,189703,416311,226608,166369,410652,244283,140465,420555,280090,135149,422967,287818,155106,416654,261548,174744,418144,243400,160284,416401,256117,135197,417573,282376,228560,193229,9056,3499,430845,210986,214264,425250,220826,207667,435285,228625,205905,0,434530,666876
POL,105570,134902,1611,240472,66667,227688,161021,84780,221557,136777,50520,224901,174381,83886,228470,144584,99077,233173,134096,80016,231608,151592,66563,237945,171382,90933,238587,147654,72096,234405,162309,79618,234024,154406,70310,231411,161101,80613,231335,150722,142971,95766,4076,2032,242813,100703,138697,239400,104045,136717,244405,105664,138710,0,244374,417217
PUT,8811,18984,155,27795,9140,26903,17763,11658,26375,14717,7029,27061,20032,12600,27539,14939,12259,27408,15149,8788,27212,18424,8496,27620,19124,12309,27669,15360,8392,27234,18842,10485,27318,16833,9175,27114,17939,12733,27164,14431,19067,8375,472,237,27914,8566,18979,27545,9011,18721,28124,9342,18689,0,28031,47219
SAN,18354,56509,556,74863,19724,72339,52615,26733,71028,44295,13374,72999,59625,26890,73874,46984,24402,74097,49695,18525,73469,54944,20325,74471,54146,34990,74725,39735,17356,73668,56312,25249,73522,48273,21537,73429,51892,28074,73748,45674,57320,16078,1723,655,75121,17387,57034,74421,18207,56148,75566,19047,56374,0,75421,132357
SAR,97081,110108,1286,207189,79291,195743,116452,66897,190255,123358,45944,199152,153208,59798,204156,144358,82666,203883,121217,73063,201483,128420,45886,206062,160176,72223,206489,134266,73241,204507,131266,86236,202422,116186,75338,201043,125705,52836,203100,150264,117001,88462,3751,1461,209214,90190,115894,206084,95014,113261,211022,96961,113612,0,210573,318384
SEM,97338,95742,1192,193080,73104,181775,108671,76860,178042,101182,39480,185835,146355,56542,190200,133658,85699,189063,103364,70163,186432,116269,56345,192329,135984,64628,193553,128925,71249,190402,119153,83096,190922,107826,71420,190416,118996,60338,188149,127811,101428,90320,3838,1188,195586,92428,99574,192002,99770,96328,198478,101048,97133,0,198181,303669
STJ,44451,83677,532,128128,45369,122276,76907,47552,120021,72469,28827,124272,95445,36187,127659,91472,48229,126692,78463,38358,125524,87166,35311,127776,92465,57812,127630,69818,39160,125569,86409,49971,125606,75635,44893,125296,80403,44736,125744,81008,85912,41200,2104,600,129216,41780,85670,127450,46208,83664,131004,45610,85032,0,130642,187125
STL,62557,59233,580,121790,37780,115917,78137,42947,113362,70415,24030,117018,92988,33284,119296,86012,47367,119275,71908,36161,118772,82611,33927,121179,87252,41622,121773,80151,40057,118597,78540,42523,118942,76419,37743,118124,80381,35938,118882,82944,61426,59140,2266,862,122832,61177,59439,120616,63606,58994,124042,63962,59608,0,123570,203131
SUM,22146,51034,391,73180,20983,69843,48860,23025,68412,45387,10426,71268,60842,18969,72813,53844,21110,72377,51267,19900,71333,51433,17318,73060,55742,34029,72817,38788,16642,71951,55309,21925,71961,50036,21502,71465,49963,25154,71312,46158,53435,19716,813,364,73964,21152,51935,73087,21843,51801,74399,21664,52857,0,74521,96497
SUW,3572,12183,106,15755,4861,15258,10397,6939,15088,8149,4024,15352,11328,8354,15479,7125,6600,15655,9055,4561,15547,10986,4875,15734,10859,7980,15649,7669,4587,15484,10897,6036,15500,9464,5307,15434,10127,7608,15441,7833,12393,3244,212,116,15849,3582,12122,15704,3450,12234,15906,4044,11842,0,15886,25847
TAY,2061,5782,51,7843,2414,7542,5128,3491,7438,3947,2132,7599,5467,4529,7727,3198,3305,7729,4424,2368,7703,5335,2372,7776,5404,3727,7803,4076,2406,7678,5272,2818,7674,4856,2395,7632,5237,3630,7632,4002,5964,1847,70,71,7881,2019,5773,7792,1877,5942,7941,2264,5642,0,7906,12142
UNI,948,3904,26,4852,1385,4596,3211,2076,4484,2408,1379,4583,3204,2584,4728,2144,1888,4739,2851,1330,4685,3355,1436,4715,3279,2559,4709,2150,1338,4649,3311,1703,4667,2964,1415,4606,3191,2169,4627,2458,3857,912,67,29,4836,940,3861,4801,973,3842,4870,1197,3650,0,4847,7396
VOL,100850,122706,1618,223556,99352,213930,114578,93766,210821,117055,49671,216174,166503,85943,219781,133838,115287,220061,104774,75523,218428,142905,73871,223570,149699,88561,223140,134579,73176,217763,144587,107378,218735,111357,101839,217544,115705,85709,217996,132287,130511,91437,4538,1844,226486,97085,125971,223056,100486,124811,228759,102775,125719,0,228494,382408
WAK,4491,9535,107,14026,5141,13492,8351,6114,13219,7105,3967,13521,9554,6757,13729,6972,6337,13824,7487,5394,13710,8316,4683,13820,9137,6037,13829,7792,4958,13655,8697,5762,13676,7914,5244,13578,8334,6431,13709,7278,9858,3985,268,117,14111,4262,9759,14021,4194,9802,14220,4868,9322,0,14190,0
WAL,7011,23061,193,30072,7020,28799,21779,9722,28135,18413,4442,29126,24684,11770,29424,17654,9084,29647,20563,7059,29347,22288,6212,29864,23652,13697,29709,16012,6243,29392,23149,9079,29313,20234,7807,29208,21401,9695,29373,19678,23222,6407,527,194,30156,6311,23738,30049,7019,22925,30331,7485,22776,0,30261,50263
WAS,1916,7089,70,9005,2386,8514,6128,3459,8345,4886,2343,8578,6235,5700,8781,3081,3023,8817,5794,2451,8735,6284,2251,8833,6582,4084,8789,4705,2194,8688,6494,2959,8710,5751,2395,8631,6236,4090,8661,4571,6999,1850,146,96,8995,1650,7369,9019,1865,7017,9048,1959,7101,0,9060,8375
